event_date,event_state,event_city,event_name,event_location_name,event_address
2017-01-11,CT,Greenwich,Greenwich Academy(Webinar),Greenwich Academy,200 N Maple Ave
2017-01-12,GA,Bogart,MOWR Parent Information Night,North Oconee High School,1081 Rocky Branch Rd
2017-01-12,NJ,Basking Ridge,Ridge High School,Ridge High School,268 S Finley Ave
2017-01-17,CA,Culver City,Culver City High School Case Study Panel & Mini College Fair,Culver City High School,4401 Elenda St
2017-01-17,FL,Orlando,Boone High School Webinar,William R Boone High School,1000 E Kaley St
2017-01-19,CA,Calabasas,Calabasas High School Case Study & Mini College Fair,Calabasas High School,22855 Mulholland Hwy
2017-01-25,GA,Atlanta,REACH Day College & Career Fair,Georgia Railroad Freight Depot,65 Martin Luther King Jr Dr SE
2017-01-25,TX,Frisco,Frisco Independent School District College Fair,Reedy High School,3003 Stonebrook Pkwy
2017-01-28,CA,Los Angeles,Hollywood High School Spring Semester College Fair,Hollywood High School,1521 N Highland Ave
2017-01-29,SC,Greenville,Christ Church Episcopal School Case Studies Program & Mini College Fair,Christ Church Episcopal School,567 Wenwood Rd
2017-02-01,TX,Lewisville,Lewisville High School College & Career Day Fair,Lewisville High School,1098 W Main St
2017-02-02,TX,Arlington,Oakridge Fair,Oakridge School,5900 W Pioneer Pkwy
2017-02-02,TX,Fort Worth,All Saints Fair,All Saints Episcopal School,9700 Saints Cir
2017-02-02,TX,Fort Worth,Trinity Valley School Fair,Trinity Valley School,7500 Dutch Branch Rd
2017-02-15,CA,West Hills,de Toledo High School College Explorations Night,de Toledo High School,22622 Vanowen St
2017-02-22,FL,Ponte Vedra,Ponte Vedra High School College Fair Plus!,Ponte Vedra High School,460 Davis Park Rd
2017-02-23,FL,Jacksonville,Jacksonville Preparatory Schools College Fair,"University of North Florida, University Center",12000 Alumni Dr
2017-02-24,OH,Mentor,Lake Catholic High School - Webinar,Lake Catholic High School,6733 Reynolds Rd
2017-02-25,CA,Torrance,Torrance Unified School District College Fair,South High School,4801 Pacific Coast Hwy
2017-02-25,FL,Tampa,NACAC - Tampa National College Fair,Florida State Fairgrounds Expo Hall,4800 N US Highway 301
2017-02-26,FL,Miami,NACAC - Miami National College Fair,DoubleTree by Hilton Miami Airport Convention Center,711 NW 72nd Ave
2017-03-03,GA,Social Circle,Social Circle High School College & Career Fair,Social Circle High,154 Alcova Dr
2017-03-09,CA,Los Angeles,Los Angeles High School Fair,Los Angeles Senior High School,4650 W Olympic Blvd
2017-03-11,CA,La Verne,Lutheran High School College Fair,Lutheran High School,3960 Fruit St
2017-03-11,SC,Greenville,NACAC - Upstate South Carolina National College Fair,TD Convention Center,1 Exposition Dr
2017-03-12,NC,Charlotte,NACAC - Charlotte National College Fair,The Park Expo & Conference Center,800 Briar Creek Rd
2017-03-13,NC,Huntersville,Christ the King Catholic High School,Christ The King High School,2011 Crusader Way
2017-03-13,NC,Matthews,Covenant Day High School College Fair,Covenant Day School,800 Fullwood Rd
2017-03-14,NC,Raleigh,Grace Christian School,Grace Christian School,1101 Buck Jones Rd
2017-03-14,NC,Raleigh,NACAC - Raleigh National College Fair,Raleigh Convention Center,500 S Salisbury St
2017-03-14,NC,Raleigh,Sanderson High School Visit,Sanderson High School,5500 Dixon Dr
2017-03-14,NC,Raleigh,St. David's School,Saint David's School,3400 White Oak Rd
2017-03-16,GA,Cumming,Keys to the Dawg House @ Forsyth Central High School,Forsyth Central High School,520 Tribble Gap Rd
2017-03-18,GA,Atlanta,Latino College & STEM Fair,Georgia Tech Student Center,350 Ferst Dr. NW
2017-03-19,GA,Atlanta,NACAC - Atlanta National College Fair,Georgia International Convention Center,2000 Convention Center Concourse
2017-03-20,GA,Atlanta,College Fair at Charles R. Drew Charter School,Charles R. Drew Charter School,300 E Lake Blvd SE
2017-03-20,GA,Marietta,QUEST East College Fair @ Kell High School,Carlton J Kell High School,4770 Lee Waters Rd
2017-03-20,MD,Olney,Our Lady of Good Counsel High School College Fair,Our Lady Of Good Counsel HS,17301 Old Vic Blvd
2017-03-21,GA,Kennesaw,QUEST West College Fair,Kennesaw Mountain High School,1898 Kennesaw Due West Rd NW
2017-03-22,GA,Milton,PROBE College Fair at Cambridge High School,Cambridge High School,2845 Bethany Bnd
2017-03-27,CA,Newport Beach,Newport Harbor High School RACC Mini Fair,Newport Harbor High School,600 Irvine Ave
2017-03-27,NY,Brooklyn,Xaverian Annual College Fair,Xaverian High School - Anthony Leondis Gymnasium,7100 Shore Rd
2017-03-29,TX,Plano,John Paul II,John Paul Ii High School,900 Coit Rd
2017-03-29,VA,Fairfax,Northern Virginia Regional College Fair,George Mason University,4400 University Dr Stop 3A4
2017-03-30,TN,Chattanooga,Coast-to-Coast College Fair,Chattanooga Convention Center,1150 Carter Dr
2017-03-30,TX,Mesquite,Dallas Christian School Mini-Fair,Dallas Christian High School,1515 Republic Pkwy
2017-04-01,TN,Nashville,Nashville Case Studies and Mini College Fair,Harpeth Hall School,3801 Hobbs Rd
2017-04-01,TX,Dallas,College Previews College Fair,Hockaday School,11600 Welch Rd
2017-04-01,VA,Woodbridge,6th Annual IB Mid-Atlantic College Fair,Gar-Field Senior High School,14000 Smoketown Rd
2017-04-04,DC,Chevy Chase,St. John's College High School College Fair,St. John's College High School,2607 Military Rd NW
2017-04-04,TX,Addison,Dallas Darn Private Swing - Trinity Christian Academy,Trinity Christian Academy,17001 Addison Rd
2017-04-04,TX,Dallas,Dallas Darn Private Swing - Bishop Lynch,Bishop Lynch High School,9750 Ferguson Rd
2017-04-04,TX,Dallas,Dallas Darn Private Swing - Ursuline Academy,Ursuline Academy,4900 Walnut Hill Ln
2017-04-05,CA,Los Angeles,Woodrow Wilson High School College Fair,Woodrow Wilson High School,4500 Multnomah St
2017-04-05,MD,Gaithersburg,NACAC - Montgomery County National College Fair,Montgomery County Agricultural Center,501 Perry Pkwy
2017-04-05,TX,Hurst,Texas IB Schools College Fair,Hurst Conference Center,1601 Campus Dr
2017-04-07,CA,Anaheim,California-Nevada-Hawaii (CNH) Key Club District College EXPO,Anaheim Marriott Hotel,700 W Convention Way
2017-04-12,TX,Dallas,Highland Park College Kickoff 2017,Highland Park High School,4220 Emerson Ave
2017-04-13,CA,La Canada,La Canada HS RACC Case Study,La Canada High School,4463 Oak Grove Dr
2017-04-13,TX,Houston,NACAC - Houston National College Fair,NRG Park,1 Nrg Park
2017-04-17,TX,Irving,NACAC - Dallas/Fort Worth National College Fair,Irving Convention Center,500 Las Colinas Blvd W
2017-04-18,CA,Del Mar,SEC Spring College Tour,Hilton San Diego/Del Mar,15575 Jimmy Durante Blvd
2017-04-18,TX,San Antonio,Ronald Reagan High School Visit,Ronald Reagan High School,19000 Ronald Reagan
2017-04-18,TX,San Antonio,TACAC - San Antonio Regional College Fair,University of Texas San Antonio Campus Rec & Wellness Center,1 Utsa Cir
2017-04-18,TX,San Antonio,TMI Episcopal School of Texas Visit,Tmi Episcopal School Of Tx,20955 W Tejas Trl
2017-04-19,CA,Pasadena,SEC Spring College Tour,Hilton Pasadena,168 S Los Robles Ave
2017-04-19,TX,Austin,James Bowie High School Visit,James Bowie High School,4103 W Slaughter Ln
2017-04-19,TX,Austin,NACAC - Austin National College Fair,Palmer Events Center,900 Barton Springs Rd
2017-04-19,TX,Austin,Westwood High School Visit,Westwood High School,12400 Mellow Meadow Dr
2017-04-20,CA,Irvine,SEC Spring College Tour,Hilton Irvine/Orange County Airport,18800 Macarthur Blvd
2017-04-20,GA,Roswell,Blessed Trinity Catholic High School College Fair,Blessed Trinity Catholic HS,11320 Woodstock Rd
2017-04-20,GA,Roswell,Blessed Trinity College Fair,Blessed Trinity Catholic HS,11320 Woodstock Rd
2017-04-20,TX,Austin,Lake Travis High School Visit,Lake Travis High School,3324 Ranch Road 620 S
2017-04-23,CA,Anaheim,NACAC - Orange County National College Fair,Anaheim Convention Center,800 W Katella Ave
2017-04-24,CA,Del Mar,San Dieguito Union High School District College Night & Fair,Del Mar Fairgrounds - O'Brien Hall,2260 Jimmy Durante Blvd
2017-04-24,CA,Newport Beach,Corona del Mar High School Fair,Corona Del Mar High School,2101 Eastbluff Dr
2017-04-24,CA,Santa Ana,Mater Dei High School Visit,Mater Dei High School,1202 W Edinger Ave
2017-04-24,GA,Atlanta,Georgia Tech English Language Institute College Fair,O'Keefe Building,151 6th St NE
2017-04-25,CA,San Diego,NACAC - San Diego National College Fair,San Diego Convention Center,111 W Harbor Dr
2017-04-26,MD,N Bethesda,Washington Area Independent School College Fair,Georgetown Preparatory School,10900 Rockville Pike
2017-04-26,NJ,Secaucus,NACAC - New Jersey National College Fair,Meadowlands Exposition Center at Harmon Meadows,355 Plaza Dr
2017-04-26,NY,Bronx,The Bronx High School of Science College Fair,Bronx High School Of Science,75 W 205th St
2017-04-26,TN,Memphis,NACAC - Memphis National College Fair,Memphis Cook Convention Center,255 N Main St
2017-04-27,CA,Burlingame,Burlingame High School,Burlingame High School,1 Mangini Way
2017-04-27,CA,Los Gatos,Los Gatos HS Visit,Los Gatos High School,20 High School Ct
2017-04-27,CA,Redwood City,Sequoia HS Visit,Sequoia High School,1201 Brewster Ave
2017-04-27,CA,San Mateo,Campanile Visit,Campanile College Counseling,1777 Borel Pl Ste 205
2017-04-27,RI,Providence,Providence Independent School College Fair,Wheeler School,216 Hope St
2017-04-27,TX,Dallas,Highland Park High School Visit - Spring 17,Highland Park High School,4220 Emerson Ave
2017-04-27,VA,Richmond,Richmond Area Independent Schools College Fair,Collegiate School,103 N Mooreland Rd
2017-04-28,CA,San Jose,Leland HS Visit,Leland High School,6677 Camden Ave
2017-04-28,NJ,Chatham,Chatham High School,Chatham High School,255 Lafayette Ave
2017-04-28,NJ,Morristown,Morristown High School,Morristown High School,50 Early St
2017-04-28,NJ,Westfield,Westfield High School,Westfield High School,550 Dorian Rd
2017-04-28,VA,Newport News,Tidewater Independents College Fair,Hampton Roads Academy,739 Academy Ln
2017-04-29,CA,Daly City,NACAC - San Francisco National College Fair,Cow Palace Arena,2600 Geneva Ave
2017-04-30,TN,Nashville,NACAC - Nashville National College Fair,Nashville Convention Center,601 Commerce St
2017-05-01,GA,Kennesaw,Keys to the Dawg House at Mount Paran Christian School,Mount Paran Christian School,1275 Stanley Rd NW
2017-05-04,TX,Flower Mound,Flower Mound High School College Forum,Flower Mound High School,3411 Peters Colony Rd
2017-05-07,MA,Boston,NACAC - Boston National College Fair,Boston Convention & Exhibition Center,415 Summer St
2017-05-08,MA,Brockton,Brockton High School College Fair,Brockton High School,470 Forest Ave
2017-05-10,MD,Germantown,College Fair with Congressman John K. Delaney (MD-6),Northwest High School,13501 Richter Farm Rd
2017-05-11,TX,Plano,Plano West HS Visit,Plano West Senior High School,5601 W Parker Rd
2017-05-16,CA,La Canada Flt,St. Francis High School Case Study,St Francis High School,200 Foothill Blvd
2017-05-16,GA,Lawrenceville,"Gwinnett School of Mathematics, Science and Technology College Fair","Gwinnett School of Mathematics, Science, and Technology",970 Mcelvaney Ln
2017-05-18,CA,Los Angeles,Thomas Jefferson High School RACC Pres & Mini Fair,Thomas Jefferson High School,1319 E 41st St
2017-05-18,CA,Manhattan Bch,Mira Costa HS RACC Case Study,Mira Costa High School,1401 Artesia Blvd
2017-05-23,PA,Bryn Mawr,Philadelphia Area Independent Schools College Fair,Shipley School The,814 Yarrow St
2017-05-24,CA,Irvine,Woodbridge HS RACC OOS Night,Woodbridge High School,2 Meadowbrook
2017-05-24,PA,Ft Washington,Philadelphia Area Independent Schools College Fair,Germantown Academy,340 Morris Rd
2017-06-12,CA,Visalia,Visalia WACAC College Fair,Visalia Convention Center,303 E Acequia Ave
2017-06-14,TX,Fort Worth,DARN - College Search Series,Nolan Catholic High School,4501 Bridge St
2017-06-20,TX,Mansfield,DARN College Search Series- Mansfield,Mansfield High School,3001 E Broad St
2017-06-21,TX,Flower Mound,DARN - College Search Series - Flower Mound,Flower Mound High School,3411 Peters Colony Rd
2017-06-27,TX,Irving,DARN - College Search Series - Upward North,Uplift North Hills Preparatory,606 E Royal Ln
2017-06-28,GA,Atlanta,Connecting College & Careers to APS Core Course Fair (SMSEA),Benjamin E Mays High School,3450 Benjamin E Mays Drive Southwest
2017-06-28,TX,Plano,DARN - College Search Series - Prestonwood Christian,Prestonwood Christian Academy,6801 W Park Blvd
2017-08-01,TX,Fort Worth,DARN - College Search Series - Fossil Ridge,Fossil Ridge High School,4101 Thompson Rd
2017-08-21,GA,Albany,"Peach State Tour - Albany, GA",Deerfield-Windsor School,2500 Nottingham Way
2017-08-21,GA,Martinez,"Peach State Tour - Augusta, GA",Augusta Preparatory Day School,285 Flowing Wells Rd
2017-08-21,GA,Peachtree Cty,"Peach State Tour - Atlanta, GA",Mcintosh High School,201 Walt Banks Rd
2017-08-22,GA,Hamilton,"Peach State Tour - Columbus, GA",Harris County High School,8281 Ga Highway 116
2017-08-22,GA,Macon,"Peach State Tour - Macon, GA",Stratford Academy,6010 Peake Rd
2017-08-22,GA,Valdosta,"Peach State Tour - Valdosta, GA",Valdosta High School,3101 N Forrest St
2017-08-23,GA,Cairo,"Peach State Tour - Bainbridge, GA",Cairo High School,455 5th St SE
2017-08-23,GA,Vidalia,"Peach State Tour - Vidalia, GA",Vidalia High School,1001 North St W
2017-08-24,GA,Carrollton,"Peach State Tour - Carrollton, GA",Carrollton High School,202 Trojan Dr
2017-08-24,GA,Louisville,"Peach State Tour - Louisville, GA",Thomas Jefferson Academy,2264 US Highway 1 N
2017-08-24,GA,Tifton,"Peach State Tour - Tifton, GA",Tift County High School,1 Blue Devil Way
2017-08-27,GA,Tiger,"Peach State Tour - Clayton, GA",Rabun County High School,230 Wildcat Hill Dr
2017-08-28,GA,Gainesville,"Peach State Tour - Gainesville, GA",Lakeview Academy,796 Lakeview Dr
2017-08-28,GA,La Fayette,"Peach State Tour - Dalton, GA",LaFayette High School,100 Rambler Dr
2017-08-28,GA,Savannah,"Peach State Tour - Savannah, GA",Savannah Country Day School,824 Stillwood Dr
2017-08-29,GA,Brunswick,"Peach State Tour - Brunswick, GA",Glynn Academy,1001 Mansfield St
2017-08-29,GA,Cartersville,"Peach State Tour - Cartersville/Rome, GA",Cartersville High School,320 E Church St
2017-08-30,GA,Waycross,"Peach State Tour - Waycross, GA",Ware County High School,700 Victory Dr
2017-09-05,CA,Los Angeles,Milken Community High School,Milken Community High School,15800 Zeldins Way
2017-09-05,CA,Pacific Plsds,Palisades Charter High School,Palisades Charter High School,15777 Bowdoin St
2017-09-05,CA,Studio City,Harvard-Westlake School,Harvard-Westlake School,3700 Coldwater Canyon Ave
2017-09-05,GA,Atlanta,Charles R. Drew Charter,Charles R Drew Charter School,301 E Lake Blvd SE
2017-09-05,GA,Brunswick,Glynn Academy,Glynn Academy,1001 Mansfield St
2017-09-05,GA,Milton,"Peach State Tour - Milton, GA",Milton High School,13025 Birmingham Hwy
2017-09-05,GA,Tucker,PROBE Dekalb North Fair at Tucker High School,Tucker High School,5036 Lavista Rd
2017-09-05,TX,Fort Worth,"UGA at ""A Southern Tour"" - Fossil Ridge",Fossil Ridge High School,4101 Thompson Rd
2017-09-05,TX,Richardson,Richardson High School Mini Fair - DARN,Richardson High School,1250 W Belt Line Rd
2017-09-06,CA,Glendale,Glendale High School Presentation & RACC Mini Fair,Glendale High School,1440 E Broadway
2017-09-06,GA,Athens,PROBE Athens Fair at The Classic Center,The Classic Center,300 N Thomas St
2017-09-06,GA,Atlanta,Henry W. Grady HS,Henry W Grady High School,929 Charles Allen Dr NE
2017-09-06,GA,Atlanta,North Atlanta High School,North Atlanta High School,4111 Northside Pkwy NW
2017-09-06,GA,Atlanta,"Peach State Tour - Atlanta, GA",Charles R Drew Charter School,300 E Lake Blvd SE
2017-09-06,GA,Savannah,Benedictine Military School,Benedictine Military School,6502 Seawright Dr
2017-09-06,GA,Savannah,Calvary Day School,Calvary Day School,4625 Waters Ave
2017-09-06,GA,Savannah,Islands High School,Islands High School,170 Whitemarsh Island Rd
2017-09-06,GA,Savannah,Saint Vincent's Academy,Saint Vincent's Academy,207 E Liberty St
2017-09-06,TX,Fort Worth,Fort Worth Country Day School Visit,Fort Worth Country Day School,4200 Country Day Ln
2017-09-06,TX,Fort Worth,Nolan Catholic High School Parent College Night,Nolan Catholic High School,4501 Bridge St
2017-09-06,TX,Fort Worth,Southwest Christian School Visit,Southwest Christian School,6901 Altamesa Blvd
2017-09-06,TX,Fort Worth,Trinity Valley School Visit,Trinity Valley School,7500 Dutch Branch Rd
2017-09-06,TX,Fort Worth,"UGA at ""A Southern Tour"" - All Saints Episcopal",All Saints Episcopal School,9700 Saints Cir
2017-09-06,VA,Richmond,Collegiate School,Collegiate School,103 N Mooreland Rd
2017-09-06,VA,Richmond,Saint Christophers,Saint Christophers School,711 Saint Christophers Rd
2017-09-06,VA,Richmond,St. Catherines,Saint Catherines School,6001 Grove Ave
2017-09-06,VA,Woodberry For,Woodberry Forest,Woodberry Forest School,148 Woodberry Station
2017-09-07,CA,Beverly Hills,Beverly Hills High School,Beverly Hills High School,241 S Moreno Dr
2017-09-07,CA,Pls Vrds Est,Palos Verdes HS RACC College Night,Palos Verdes High School,600 Cloyden Rd
2017-09-07,CA,Rllng Hls Est,Palos Verdes Peninsula HS RACC Mini Fair,Palos Verdes Peninsula HS,27118 Silver Spur Rd
2017-09-07,GA,Conyers,RCA Visit,Rockdale Career Academy,1064 Culpepper Dr SW
2017-09-07,GA,Conyers,Rockdale County/Magnet HS Visit,Rockdale County High School,1174 Bulldog Cir NE
2017-09-07,GA,Lithonia,Arabia Mountain High School,Arabia Mountain High School,6610 Browns Mill Rd
2017-09-07,GA,Lithonia,PROBE Rockdale/S. Dekalb Fair at Mall at Stonecrest,Stonecrest Mall,2929 Turner Hill Rd
2017-09-07,GA,Loganville,PROBE Walton County Fair at Meridian Park,Meridian Park,105 Generation Blvd
2017-09-07,GA,Norcross,"Peach State Tour - Norcross, GA",Greater Atlanta Christian School,1575 Indian Trail Rd
2017-09-07,GA,Savannah,Savannah & Low Country Private School College Fair,Savannah International Trade & Convention Center,1 International Dr
2017-09-07,GA,Stone Mtn,Stephenson High School,Stephenson High School,701 Stephenson Rd
2017-09-07,TX,Dallas,Shelton School Visit - DARN Mini Fair,Shelton School,15720 Hillcrest Rd
2017-09-07,TX,Dallas,Yavneh Academy Visit,Yavneh Academy Of Dallas,12324 Merit Dr
2017-09-07,TX,Mansfield,"UGA at ""A Southern Tour"" - Mansfield",Mansfield ISD Center for the Performing Arts,1110 W Debbie Ln
2017-09-07,TX,Plano,Plano West High School Visit,Plano West Senior High School,5601 W Parker Rd
2017-09-08,GA,Atlanta,North Atlanta High School College Fair,North Atlanta High School,4111 Northside Pkwy NW
2017-09-08,GA,Duluth,Duluth High School Visit,Duluth High School,3737 Brock Rd
2017-09-08,GA,Suwanee,4th Annual Collins Hill High School College Fair,Collins Hill High School,50 Taylor Rd
2017-09-08,GA,Suwanee,Peachtree Ridge High School Visit,Peachtree Ridge High School,1555 Old Peachtree Rd NW
2017-09-08,KY,Louisville,duPont Manual High School,Dupont Manual High School,120 W Lee St
2017-09-08,KY,Louisville,Kentucky Country Day High School,Kentucky Country Day School,4100 Springdale Rd
2017-09-08,KY,Louisville,Saint Xavier High School,Saint Xavier High School,1609 Poplar Level Rd
2017-09-08,TX,Dallas,Lake Highland High School Mini Fair - DARN,Lake Highlands High School,9449 Church Rd
2017-09-08,TX,Dallas,Lakehill Prep DARN Mini Fair,Lakehill Preparatory School,2720 Hillside Dr
2017-09-09,GA,Atlanta,KIPP-Lovett-Westminster College Day,Renaissance Atlanta Waverly Hotel & Conference Center,2452 Galleria Pkwy SE
2017-09-09,KY,Louisville,NACAC Louisville National College Fair,Bellarmine University,2001 Newburg Rd
2017-09-10,GA,College Park,Woodward Academy College Fair 2017,Woodward Academy,1662 Rugby Ave
2017-09-11,GA,Alpharetta,PROBE Atlanta North Fair at North Point Mall,North Point Mall,1000 N Point Cir
2017-09-11,GA,Greenville,Greenville High School,Greenville High School,PO Box 340
2017-09-11,GA,Hogansville,Callaway High School,Callaway High School,221 Whitfield Rd
2017-09-11,GA,Kennesaw,"Peach State Tour - Kennesaw, GA",Harrison High School,4500 Due West Rd NW
2017-09-11,GA,Lagrange,LaGrange Academy,La Grange Academy,1501 Vernon Rd
2017-09-11,GA,Lagrange,LaGrange High School,Lagrange High School,516 N Greenwood St
2017-09-11,GA,Rome,Armuchee High School,Armuchee High School,4203 Martha Berry Hwy NW
2017-09-11,GA,Rome,Darlington School's Annual College Fair,Darlington School,1014 Cave Spring Rd SW
2017-09-11,GA,Rome,Model High School,Model High School,3252 Calhoun Rd NE
2017-09-11,GA,Sandy Springs,North Springs Charter HS,North Springs Charter HS,7447 Roswell Rd
2017-09-11,GA,Sandy Springs,Riverwood International Charter School,Riverwood International Charter School,5900 Raider Dr
2017-09-11,SC,Charleston,CACRAO - Charleston County Independent School Evening Fair,Porter-Gaud School,300 Albemarle Rd
2017-09-11,SC,Daniel Island,Bishop England High School,Bishop England High School,363 Seven Farms Dr
2017-09-11,SC,N Charleston,Academic Magnet High School,Academic Magnet High School,5109A W Enterprise St
2017-09-11,SC,N Charleston,CACRAO - Charleston County Consolidated Morning Fair,North Charleston Coliseum & Performing Arts Center,5001 Coliseum Dr
2017-09-11,TX,Austin,Austin High School Visit,Stephen F Austin High School,1715 W Cesar Chavez St
2017-09-11,TX,Austin,James Bowie High School Visit,James Bowie High School,4103 W Slaughter Ln
2017-09-11,TX,Austin,Veritas Academy Visit,Veritas Academy,4220 Monterey Oaks Blvd
2017-09-11,TX,Austin,Westwood High School Visit,Westwood High School,12400 Mellow Meadow Dr
2017-09-11,TX,Dallas,Highland Park High School College Night,Highland Park High School,4220 Emerson Ave
2017-09-11,TX,Plano,Plano Senior High School College Night 2017,Plano Senior High School,2200 Independence Pkwy
2017-09-12,CA,Calabasas,Calabasas High School,Calabasas High School,22855 Mulholland Hwy
2017-09-12,CA,Thousand Oaks,La Reina High School,La Reina High School,106 W Janss Rd
2017-09-12,CA,Westlake Vlg,Westlake High School Visit,Westlake High School,100 N Lakeview Canyon Rd
2017-09-12,DC,Washington,Georgetown Visitation,Georgetown Visitation Prep School,1524 35th St NW
2017-09-12,DC,Washington,Gonzaga College HS,Gonzaga College High School,19 I St NW
2017-09-12,DC,Washington,St Johns College HS,Saint Johns College HS,2607 Military Rd NW
2017-09-12,GA,Cumming,Pinecrest Academy,Pinecrest Academy,955 Peachtree Pwky
2017-09-12,GA,Cumming,PROBE Forsyth County Fair at Lanier Tech Conference Center,Forsyth Conference Center at Lanier Technical College,3410 Ronald Reagan Blvd
2017-09-12,GA,Decatur,Decatur High School,Decatur High School,310 N Mcdonough St
2017-09-12,GA,Kathleen,Veterans High School Senior Night,Veterans High School,340 Piney Grove Rd
2017-09-12,GA,Lagrange,Troup County Comprehensive High School,Troup County Comprehensive High School,1920 Hamilton Rd
2017-09-12,GA,Manchester,Manchester High School,Manchester High School,405 N 5th Ave
2017-09-12,GA,Marietta,PROBE Cobb County Fair at Marietta High School,Marietta High School,1171 Whitlock Ave SW
2017-09-12,GA,Thomaston,Upson-Lee High School,Upson-Lee High School,268 Knight Trl
2017-09-12,GA,Zebulon,Pike County High School,Pike County High School,331 Pirate Dr
2017-09-12,NC,Concord,Cannon School,Cannon School,5801 Poplar Tent Rd
2017-09-12,NC,Huntersville,Lake Norman Charter School,Lake Norman Charter School,12701 Old Statesville Rd
2017-09-12,NC,Waxhaw,Marvin Ridge High School,Marvin Ridge High School,2825 Crane Rd
2017-09-12,SC,Summerville,CACRAO - Ashley Ridge High School,Ashley Ridge High School,9800 Delemar Hwy
2017-09-12,SC,Summerville,CACRAO - Summerville High School Fair,Summerville High School,1101 Boone Hill Rd
2017-09-12,SC,Summerville,Pinewood Preparatory,Pinewood Preparatory School,1114 Orangeburg Rd
2017-09-12,TN,Chattanooga,Baylor School College Fair,Baylor School,171 Baylor School Rd
2017-09-12,TX,Carrollton,Carrollton-Farmers Branch ISD College Night @Creekview High School,Creekview High School,3201 Old Denton Rd
2017-09-12,TX,Dallas,College Night for Dallas Catholic High Schools,Jesuit College Preparatory Sch,12345 Inwood Rd
2017-09-12,TX,Fort Worth,Paschal High School Visit,Robert L Paschal High School,3001 Forest Park Blvd
2017-09-12,TX,Plano,Plano East Senior High School College Fair,Plano East Senior High School,3000 Los Rios Blvd
2017-09-12,TX,Richardson,JJ Pearce High School Visit,J J Pearce High School,1600 N Coit Rd
2017-09-13,CA,Simi Valley,Simi Valley USD College Fair,Simi Valley High School,5400 Cochran St
2017-09-13,FL,Niceville,Okaloosa and Walton County College Night,Northwest Florida State College,100 College Blvd E
2017-09-13,GA,Atlanta,Druid Hills High School,Druid Hills High School,1798 Haygood Dr NE
2017-09-13,GA,Duluth,PROBE Gwinnett North Fair at Infinite Energy Center,Infinite Energy Center,6400 Sugarloaf Pkwy
2017-09-13,GA,Dunwoody,Dunwoody High School,Dunwoody High School,5035 Vermack Rd
2017-09-13,GA,Lawrenceville,Archer High School Visit,Archer High School,2255 New Hope Rd
2017-09-13,GA,Macon,Central High School,Central High School,2155 Napier Ave
2017-09-13,GA,Macon,First Presbyterian Day School,First Presbyterian Day School,5671 Calvin Dr
2017-09-13,GA,Macon,Stratford Academy,Stratford Academy,6010 Peake Rd
